customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,segment,region
C000035,3,96,10498.75,5,1,2,512,Hibernating,KHULNA
C000036,10,116,11112.25,4,4,3,443,Loyal,RANGPUR
C000037,9,106,12635.75,4,2,5,425,Hibernating,KHULNA
C000038,18,99,9940.25,3,1,1,311,Hibernating,SYLHET
C000039,52,93,9403.5,1,1,1,111,Potential,DHAKA
C000040,20,111,12782.5,3,3,5,335,Loyal,RANGPUR
C000041,10,109,11795.75,4,3,4,434,Loyal,KHULNA
C000042,13,102,10441.0,4,2,2,422,Hibernating,CHITTAGONG
C000043,15,114,13614.0,3,4,5,345,Loyal,SYLHET
C000044,10,118,11893.75,4,4,4,444,Champion,KHULNA
C000045,15,116,12049.75,3,4,4,344,Loyal,DHAKA
C000046,5,102,10894.75,5,2,2,522,Hibernating,SYLHET
C000047,47,118,12431.75,1,4,4,144,Potential,CHITTAGONG
C000048,71,105,12313.0,1,2,4,124,Potential,DHAKA
C000049,48,107,10324.5,1,3,2,132,Potential,DHAKA
C000050,19,109,12331.5,3,3,4,334,Loyal,BARISAL
C000051,42,115,10912.25,1,4,2,142,Potential,CHITTAGONG
C000052,55,101,10548.25,1,2,2,122,Potential,SYLHET
C000053,14,119,13172.5,3,5,5,355,Loyal,CHITTAGONG
C000054,25,117,12067.0,2,4,4,244,Hibernating,KHULNA
C000055,3,99,8761.0,5,1,1,511,Hibernating,RANGPUR
C000056,28,108,9974.0,2,3,1,231,Hibernating,DHAKA
C000057,42,102,10631.5,1,2,2,122,Potential,RANGPUR
C000058,33,119,12038.5,2,5,4,254,Hibernating,DHAKA
C000059,61,117,13812.5,1,4,5,145,Potential,CHITTAGONG
C000060,24,116,11234.5,2,4,3,243,Hibernating,RANGPUR
C000061,28,101,11587.0,2,2,3,223,Hibernating,CHITTAGONG
C000062,29,109,11922.75,2,3,4,234,Hibernating,CHITTAGONG
C000063,34,106,12621.75,2,2,5,225,Hibernating,DHAKA
C000064,85,96,10203.25,1,1,1,111,Potential,DHAKA
C000065,50,120,12864.25,1,5,5,155,Potential,DHAKA
C000066,6,108,12291.0,5,3,4,534,Loyal,DHAKA
C000067,12,110,11448.75,4,3,3,433,Loyal,DHAKA
C000068,27,106,10552.25,2,2,2,222,Hibernating,DHAKA
C000069,5,119,12216.75,5,5,4,554,Champion,RANGPUR
C000070,1,94,9574.75,5,1,1,511,Hibernating,DHAKA
C000071,4,112,12009.5,5,4,4,544,Champion,DHAKA
C000072,18,114,11368.75,3,4,3,343,Loyal,DHAKA
C000073,6,110,11623.75,5,3,3,533,Loyal,DHAKA
C000074,5,108,11233.75,5,3,3,533,Loyal,DHAKA
C000075,1,112,11098.25,5,4,3,543,Loyal,RAJSHAHI
C000076,3,108,10986.0,5,3,2,532,Loyal,CHITTAGONG
C000077,3,108,12524.0,5,3,4,534,Loyal,CHITTAGONG
C000078,2,115,11494.75,5,4,3,543,Loyal,RANGPUR
C000079,40,107,11616.25,1,3,3,133,Potential,DHAKA
C000080,2,98,10866.0,5,1,2,512,Hibernating,BARISAL
C000081,17,92,10688.5,3,1,2,312,Hibernating,KHULNA
C000082,58,96,10300.75,1,1,1,111,Potential,DHAKA
C000083,20,118,12382.5,3,4,4,344,Loyal,CHITTAGONG
C000084,10,120,12622.75,4,5,5,455,Champion,DHAKA
C000085,8,113,13017.5,4,4,5,445,Champion,RAJSHAHI
C000086,17,102,11041.0,3,2,2,322,Hibernating,DHAKA
C000087,39,102,9936.25,1,2,1,121,Potential,DHAKA
C000088,9,110,13799.5,4,3,5,435,Loyal,DHAKA
C000089,19,95,10714.0,3,1,2,312,Hibernating,DHAKA
C000090,9,120,12484.0,4,5,4,454,Champion,DHAKA
C000091,1,95,9400.25,5,1,1,511,Hibernating,RANGPUR
C000092,51,127,12722.75,1,5,5,155,Potential,SYLHET
C000093,70,112,12798.5,1,4,5,145,Potential,CHITTAGONG
C000094,12,125,14321.5,4,5,5,455,Champion,RAJSHAHI
C000095,11,118,13457.5,4,4,5,445,Champion,BARISAL
C000096,8,125,13295.0,4,5,5,455,Champion,KHULNA
C000097,11,103,11169.0,4,2,3,423,Hibernating,KHULNA
C000098,20,116,10243.25,3,4,1,341,Loyal,CHITTAGONG
C000099,14,134,14396.5,3,5,5,355,Loyal,RANGPUR
C000100,3,129,13569.25,5,5,5,555,Champion,KHULNA
C000101,3,107,12265.5,5,3,4,534,Loyal,DHAKA
C000102,32,111,10784.5,2,3,2,232,Hibernating,KHULNA
C000103,15,103,11160.75,3,2,3,323,Hibernating,RANGPUR
C000104,14,110,11991.25,3,3,4,334,Loyal,DHAKA
C000105,24,111,12855.5,2,3,5,235,Hibernating,DHAKA
C000106,34,107,11591.0,2,3,3,233,Hibernating,DHAKA
C000107,1,121,12626.5,5,5,5,555,Champion,DHAKA
C000108,34,113,10621.25,2,4,2,242,Hibernating,DHAKA
C000109,29,105,10667.0,2,2,2,222,Hibernating,RAJSHAHI
C000110,9,108,10254.0,4,3,1,431,Loyal,CHITTAGONG
C000111,88,136,14848.25,1,5,5,155,Potential,RANGPUR
C000112,28,115,13539.5,2,4,5,245,Hibernating,DHAKA
C000113,2,113,12349.25,5,4,4,544,Champion,DHAKA
C000114,7,98,11828.5,4,1,4,414,Hibernating,DHAKA
C000115,23,116,12578.5,3,4,4,344,Loyal,RANGPUR
C000116,10,122,12187.0,4,5,4,454,Champion,RANGPUR
C000117,74,101,11787.5,1,2,3,123,Potential,DHAKA
C000118,26,108,11029.25,2,3,2,232,Hibernating,DHAKA
C000119,14,104,11766.0,3,2,3,323,Hibernating,KHULNA
C000120,53,93,9269.5,1,1,1,111,Potential,SYLHET
C000121,30,103,11228.25,2,2,3,223,Hibernating,CHITTAGONG
C000122,4,113,11887.75,5,4,4,544,Champion,DHAKA
C000123,39,95,10215.0,1,1,1,111,Potential,KHULNA
C000124,17,109,11272.5,3,3,3,333,Loyal,RANGPUR
C000125,4,109,12434.0,5,3,4,534,Loyal,CHITTAGONG
C000126,9,91,9740.5,4,1,1,411,Hibernating,RANGPUR
C000127,37,92,9172.25,2,1,1,211,Hibernating,DHAKA
C000128,8,107,11024.0,4,3,2,432,Loyal,DHAKA
C000129,18,104,10308.5,3,2,1,321,Hibernating,BARISAL
C000130,14,115,12477.5,3,4,4,344,Loyal,DHAKA
C000131,13,114,12121.25,4,4,4,444,Champion,RANGPUR
C000132,3,118,13034.0,5,4,5,545,Champion,CHITTAGONG
C000133,3,104,11065.5,5,2,2,522,Hibernating,DHAKA
C000134,31,109,10424.5,2,3,2,232,Hibernating,BARISAL
C000135,40,110,10702.5,1,3,2,132,Potential,SYLHET
C000136,23,93,10491.0,3,1,2,312,Hibernating,CHITTAGONG
C000137,43,99,9354.25,1,1,1,111,Potential,DHAKA
C000138,16,114,10207.25,3,4,1,341,Loyal,CHITTAGONG
C000139,53,122,13671.25,1,5,5,155,Potential,KHULNA
C000140,78,96,7745.5,1,1,1,111,Potential,DHAKA
C000141,3,105,10978.75,5,2,2,522,Hibernating,DHAKA
C000142,67,102,10826.5,1,2,2,122,Potential,DHAKA
C000143,6,110,10707.5,5,3,2,532,Loyal,CHITTAGONG
C000144,14,109,11482.5,3,3,3,333,Loyal,DHAKA
C000145,5,114,11068.25,5,4,2,542,Loyal,DHAKA
C000146,5,103,12038.0,5,2,4,524,Hibernating,RAJSHAHI
C000147,5,114,12060.75,5,4,4,544,Champion,KHULNA
C000148,23,105,11298.25,3,2,3,323,Hibernating,DHAKA
C000149,16,111,10778.25,3,3,2,332,Loyal,CHITTAGONG
C000150,10,103,10302.5,4,2,1,421,Hibernating,BARISAL
C000151,7,106,11921.0,4,2,4,424,Hibernating,DHAKA
C000152,8,144,15624.5,4,5,5,455,Champion,RANGPUR
C000153,8,106,10520.25,4,2,2,422,Hibernating,RAJSHAHI
C000154,27,95,9156.0,2,1,1,211,Hibernating,RAJSHAHI
C000155,1,89,9056.5,5,1,1,511,Hibernating,KHULNA
C000156,15,109,11810.25,3,3,4,334,Loyal,DHAKA
C000157,65,90,9657.5,1,1,1,111,Potential,DHAKA
C000158,26,118,11565.0,2,4,3,243,Hibernating,SYLHET
C000159,50,106,12108.25,1,2,4,124,Potential,DHAKA
C000160,3,132,14135.5,5,5,5,555,Champion,DHAKA
C000161,3,102,11656.5,5,2,3,523,Hibernating,DHAKA
C000162,13,99,10501.75,4,1,2,412,Hibernating,RANGPUR
C000163,2,109,12199.0,5,3,4,534,Loyal,BARISAL
C000164,3,110,11080.0,5,3,3,533,Loyal,RANGPUR
C000165,9,115,12299.5,4,4,4,444,Champion,RAJSHAHI
C000166,24,104,12006.25,2,2,4,224,Hibernating,CHITTAGONG
C000167,4,91,9396.0,5,1,1,511,Hibernating,CHITTAGONG
C000168,4,116,11663.5,5,4,3,543,Loyal,KHULNA
C000169,9,131,12774.25,4,5,5,455,Champion,CHITTAGONG
C000170,3,106,12727.75,5,2,5,525,Hibernating,CHITTAGONG
C000171,130,102,10772.75,1,2,2,122,Potential,RAJSHAHI
C000172,4,96,9772.75,5,1,1,511,Hibernating,KHULNA
C000173,6,111,10081.5,5,3,1,531,Loyal,KHULNA
C000174,31,102,10627.5,2,2,2,222,Hibernating,RAJSHAHI
C000175,15,112,10775.5,3,4,2,342,Loyal,RANGPUR
C000176,24,121,13538.5,2,5,5,255,Hibernating,DHAKA
C000177,9,108,11663.75,4,3,3,433,Loyal,RAJSHAHI
C000178,18,117,10893.0,3,4,2,342,Loyal,DHAKA
C000179,10,104,10642.5,4,2,2,422,Hibernating,DHAKA
C000180,36,124,14238.75,2,5,5,255,Hibernating,DHAKA
C000181,4,99,11299.25,5,1,3,513,Hibernating,DHAKA
C000182,10,93,10002.5,4,1,1,411,Hibernating,RAJSHAHI
C000183,33,109,12758.25,2,3,5,235,Hibernating,RAJSHAHI
C000184,3,105,11997.0,5,2,4,524,Hibernating,DHAKA
C000185,5,102,9819.5,5,2,1,521,Hibernating,CHITTAGONG
C000186,16,88,9506.5,3,1,1,311,Hibernating,CHITTAGONG
C000187,8,112,10732.0,4,4,2,442,Loyal,CHITTAGONG
C000188,18,103,11201.25,3,2,3,323,Hibernating,DHAKA
C000189,29,96,11062.25,2,1,2,212,Hibernating,BARISAL
C000190,14,120,11145.75,3,5,3,353,Loyal,BARISAL
C000191,48,111,12708.5,1,3,5,135,Potential,DHAKA
C000192,15,112,12531.25,3,4,4,344,Loyal,DHAKA
C000193,2,115,11772.5,5,4,3,543,Loyal,RANGPUR
C000194,16,109,12452.25,3,3,4,334,Loyal,DHAKA
C000195,24,109,11539.5,2,3,3,233,Hibernating,DHAKA
C000196,10,112,12936.5,4,4,5,445,Champion,DHAKA
C000197,24,121,13230.25,2,5,5,255,Hibernating,RAJSHAHI
C000198,2,123,14423.5,5,5,5,555,Champion,DHAKA
C000199,27,120,11051.75,2,5,2,252,Hibernating,CHITTAGONG
C000200,66,89,9389.75,1,1,1,111,Potential,RANGPUR
C000201,11,98,11495.0,4,1,3,413,Hibernating,BARISAL
C000202,2,96,10094.25,5,1,1,511,Hibernating,SYLHET
C000203,52,109,11627.0,1,3,3,133,Potential,DHAKA
C000204,12,121,13275.75,4,5,5,455,Champion,RANGPUR
C000205,14,118,12573.0,3,4,4,344,Loyal,RANGPUR
C000206,3,117,10882.0,5,4,2,542,Loyal,CHITTAGONG
C000207,18,103,11913.5,3,2,4,324,Hibernating,RANGPUR
C000208,27,103,9838.0,2,2,1,221,Hibernating,DHAKA
C000209,10,108,10110.0,4,3,1,431,Loyal,SYLHET
C000210,77,122,12668.75,1,5,5,155,Potential,RANGPUR
C000211,2,114,12042.25,5,4,4,544,Champion,DHAKA
C000212,7,121,13929.25,4,5,5,455,Champion,DHAKA
C000213,2,108,10134.0,5,3,1,531,Loyal,CHITTAGONG
C000214,18,106,9827.5,3,2,1,321,Hibernating,DHAKA
C000215,90,103,11449.0,1,2,3,123,Potential,DHAKA
C000216,19,110,10257.75,3,3,1,331,Loyal,DHAKA
C000217,31,87,8267.75,2,1,1,211,Hibernating,KHULNA
C000218,16,119,11582.0,3,5,3,353,Loyal,DHAKA
C000219,44,101,10585.0,1,2,2,122,Potential,RANGPUR
C000220,57,94,9791.25,1,1,1,111,Potential,SYLHET
C000221,31,108,10691.5,2,3,2,232,Hibernating,KHULNA
C000222,1,106,10208.25,5,2,1,521,Hibernating,KHULNA
C000223,10,104,13564.0,4,2,5,425,Hibernating,DHAKA
C000224,2,113,9825.0,5,4,1,541,Loyal,DHAKA
C000225,10,126,14049.5,4,5,5,455,Champion,DHAKA
C000226,14,123,12975.5,3,5,5,355,Loyal,KHULNA
C000227,61,98,10263.25,1,1,1,111,Potential,RAJSHAHI
C000228,33,122,11824.0,2,5,4,254,Hibernating,KHULNA
C000229,14,117,12663.75,3,4,5,345,Loyal,BARISAL
C000230,28,118,11618.0,2,4,3,243,Hibernating,BARISAL
C000231,15,134,13568.25,3,5,5,355,Loyal,RAJSHAHI
C000232,9,114,10698.25,4,4,2,442,Loyal,DHAKA
C000233,80,93,8301.5,1,1,1,111,Potential,DHAKA
C000234,2,121,10568.25,5,5,2,552,Loyal,KHULNA
C000235,120,118,11585.5,1,4,3,143,Potential,KHULNA
C000236,3,104,10356.75,5,2,2,522,Hibernating,DHAKA
C000237,3,97,12512.5,5,1,4,514,Hibernating,DHAKA
C000238,19,105,10711.75,3,2,2,322,Hibernating,DHAKA
C000239,3,111,11171.75,5,3,3,533,Loyal,CHITTAGONG
C000240,20,97,9697.5,3,1,1,311,Hibernating,DHAKA
C000241,11,102,9663.0,4,2,1,421,Hibernating,RANGPUR
C000242,63,129,12842.25,1,5,5,155,Potential,KHULNA
C000243,54,108,10213.5,1,3,1,131,Potential,DHAKA
C000244,12,105,11252.75,4,2,3,423,Hibernating,CHITTAGONG
C000245,6,111,12617.75,5,3,5,535,Loyal,RAJSHAHI
C000246,7,127,13127.5,4,5,5,455,Champion,RAJSHAHI
C000247,1,110,11160.75,5,3,3,533,Loyal,RANGPUR
C000248,10,114,12204.0,4,4,4,444,Champion,KHULNA
C000249,27,112,11260.75,2,4,3,243,Hibernating,DHAKA
C000250,14,103,11005.0,3,2,2,322,Hibernating,DHAKA
C000251,7,95,9654.0,4,1,1,411,Hibernating,KHULNA
C000252,8,108,12116.0,4,3,4,434,Loyal,RAJSHAHI
C000253,14,114,12047.0,3,4,4,344,Loyal,RAJSHAHI
C000254,36,121,11807.25,2,5,4,254,Hibernating,DHAKA
C000255,46,126,13466.0,1,5,5,155,Potential,KHULNA
C000256,2,122,11743.25,5,5,3,553,Loyal,CHITTAGONG
C000257,15,115,12341.25,3,4,4,344,Loyal,RANGPUR
C000258,1,130,12492.0,5,5,4,554,Champion,CHITTAGONG
C000259,19,110,10844.25,3,3,2,332,Loyal,CHITTAGONG
C000260,11,103,10651.0,4,2,2,422,Hibernating,CHITTAGONG
C000261,26,92,9654.75,2,1,1,211,Hibernating,RAJSHAHI
C000262,15,124,12875.5,3,5,5,355,Loyal,KHULNA
C000263,2,96,9716.75,5,1,1,511,Hibernating,RANGPUR
C000264,44,120,12410.5,1,5,4,154,Potential,DHAKA
C000265,101,115,10941.75,1,4,2,142,Potential,DHAKA
C000266,56,99,10504.5,1,1,2,112,Potential,RAJSHAHI
C000267,16,123,11549.5,3,5,3,353,Loyal,SYLHET
C000268,29,117,12781.5,2,4,5,245,Hibernating,DHAKA
C000269,13,129,14130.25,4,5,5,455,Champion,DHAKA
C000270,35,104,12150.0,2,2,4,224,Hibernating,CHITTAGONG
C000271,15,124,12076.0,3,5,4,354,Loyal,DHAKA
C000272,8,100,10995.0,4,1,2,412,Hibernating,SYLHET
C000273,64,135,16645.75,1,5,5,155,Potential,DHAKA
C000274,98,97,10011.25,1,1,1,111,Potential,CHITTAGONG
C000275,37,122,13880.0,2,5,5,255,Hibernating,RANGPUR
C000276,24,126,12502.75,2,5,4,254,Hibernating,DHAKA
C000277,8,93,9791.0,4,1,1,411,Hibernating,DHAKA
C000278,21,109,11551.0,3,3,3,333,Loyal,KHULNA
C000279,16,92,8869.25,3,1,1,311,Hibernating,RAJSHAHI
C000280,5,91,10277.0,5,1,1,511,Hibernating,SYLHET
C000281,42,98,10304.25,1,1,1,111,Potential,DHAKA
C000282,19,110,11427.5,3,3,3,333,Loyal,CHITTAGONG
C000283,6,116,13615.25,5,4,5,545,Champion,DHAKA
C000284,29,94,10805.0,2,1,2,212,Hibernating,DHAKA
C000285,110,117,11791.0,1,4,3,143,Potential,KHULNA
C000286,8,107,11083.75,4,3,3,433,Loyal,DHAKA
C000287,1,111,13334.5,5,3,5,535,Loyal,RANGPUR
C000288,12,111,10852.0,4,3,2,432,Loyal,BARISAL
C000289,10,106,11086.75,4,2,3,423,Hibernating,CHITTAGONG
C000290,24,111,11048.75,2,3,2,232,Hibernating,CHITTAGONG
C000291,13,97,10745.25,4,1,2,412,Hibernating,DHAKA
C000292,10,105,10278.75,4,2,1,421,Hibernating,CHITTAGONG
C000293,14,104,10774.5,3,2,2,322,Hibernating,DHAKA
C000294,10,122,12429.75,4,5,4,454,Champion,DHAKA
C000295,10,100,9678.75,4,1,1,411,Hibernating,RAJSHAHI
C000296,10,108,11470.25,4,3,3,433,Loyal,CHITTAGONG
C000297,11,98,10674.5,4,1,2,412,Hibernating,CHITTAGONG
C000298,58,112,10643.25,1,4,2,142,Potential,DHAKA
C000299,32,86,9259.75,2,1,1,211,Hibernating,KHULNA
C000300,28,95,9414.75,2,1,1,211,Hibernating,CHITTAGONG
C000301,8,130,13272.5,4,5,5,455,Champion,RAJSHAHI
C000302,8,111,12743.75,4,3,5,435,Loyal,SYLHET
C000303,38,107,11817.0,2,3,4,234,Hibernating,DHAKA
C000304,26,119,13753.75,2,5,5,255,Hibernating,DHAKA
C000305,20,111,12771.25,3,3,5,335,Loyal,KHULNA
C000306,36,100,10595.0,2,1,2,212,Hibernating,KHULNA
C000307,3,107,10904.25,5,3,2,532,Loyal,RAJSHAHI
C000308,11,111,11816.5,4,3,4,434,Loyal,BARISAL
C000309,10,119,13790.25,4,5,5,455,Champion,RAJSHAHI
C000310,13,86,9553.5,4,1,1,411,Hibernating,SYLHET
C000311,13,100,9682.0,4,1,1,411,Hibernating,SYLHET
C000312,51,114,10778.5,1,4,2,142,Potential,CHITTAGONG
C000313,1,109,10519.75,5,3,2,532,Loyal,DHAKA
C000314,28,96,9638.5,2,1,1,211,Hibernating,RANGPUR
C000315,31,120,14139.25,2,5,5,255,Hibernating,DHAKA
C000316,5,106,13182.0,5,2,5,525,Hibernating,KHULNA
C000317,4,108,12718.25,5,3,5,535,Loyal,RAJSHAHI
C000318,34,120,12922.25,2,5,5,255,Hibernating,KHULNA
C000319,3,97,10635.0,5,1,2,512,Hibernating,DHAKA
C000320,21,106,11508.75,3,2,3,323,Hibernating,CHITTAGONG
C000321,12,130,13108.5,4,5,5,455,Champion,CHITTAGONG
C000322,24,105,10211.75,2,2,1,221,Hibernating,SYLHET
C000323,37,116,12563.0,2,4,4,244,Hibernating,KHULNA
C000324,15,119,12964.0,3,5,5,355,Loyal,DHAKA
C000325,1,116,11692.0,5,4,3,543,Loyal,RAJSHAHI
C000326,39,113,11381.5,1,4,3,143,Potential,CHITTAGONG
C000327,7,100,10254.75,4,1,1,411,Hibernating,KHULNA
C000328,44,103,11214.75,1,2,3,123,Potential,RAJSHAHI
C000329,29,98,10621.0,2,1,2,212,Hibernating,DHAKA
C000330,39,88,10465.0,1,1,2,112,Potential,DHAKA
C000331,19,108,9556.0,3,3,1,331,Loyal,SYLHET
C000332,17,115,11754.25,3,4,3,343,Loyal,BARISAL
C000333,2,118,13566.75,5,4,5,545,Champion,RANGPUR
C000334,61,100,10408.5,1,1,2,112,Potential,RANGPUR
C000335,16,119,11624.25,3,5,3,353,Loyal,DHAKA
C000336,6,99,10043.25,5,1,1,511,Hibernating,RAJSHAHI
C000337,2,128,13895.5,5,5,5,555,Champion,DHAKA
C000338,96,109,12257.75,1,3,4,134,Potential,DHAKA
C000339,40,122,12313.5,1,5,4,154,Potential,RAJSHAHI
C000340,17,104,11941.75,3,2,4,324,Hibernating,DHAKA
C000341,50,101,10448.75,1,2,2,122,Potential,KHULNA
C000342,18,106,11514.5,3,2,3,323,Hibernating,RAJSHAHI
C000343,24,109,13246.5,2,3,5,235,Hibernating,DHAKA
C000344,6,99,10334.75,5,1,2,512,Hibernating,DHAKA
C000345,10,109,12332.0,4,3,4,434,Loyal,RAJSHAHI
C000346,17,109,10342.0,3,3,2,332,Loyal,RANGPUR
C000347,22,93,9882.0,3,1,1,311,Hibernating,DHAKA
C000348,26,117,12478.0,2,4,4,244,Hibernating,RAJSHAHI
C000349,1,106,11421.75,5,2,3,523,Hibernating,CHITTAGONG
C000350,40,101,9838.25,1,2,1,121,Potential,RAJSHAHI
C000351,2,106,11888.5,5,2,4,524,Hibernating,CHITTAGONG
C000352,6,117,12098.0,5,4,4,544,Champion,CHITTAGONG
C000353,55,93,10382.0,1,1,2,112,Potential,DHAKA
C000354,23,116,11193.5,3,4,3,343,Loyal,DHAKA
C000355,6,103,11776.0,5,2,3,523,Hibernating,DHAKA
C000356,77,101,9427.5,1,2,1,121,Potential,RAJSHAHI
C000357,16,110,13678.75,3,3,5,335,Loyal,KHULNA
C000358,24,107,12691.0,2,3,5,235,Hibernating,DHAKA
C000359,24,111,12615.25,2,3,5,235,Hibernating,CHITTAGONG
C000360,21,114,11017.75,3,4,2,342,Loyal,CHITTAGONG
C000361,25,122,13329.75,2,5,5,255,Hibernating,CHITTAGONG
C000362,54,103,11772.75,1,2,3,123,Potential,DHAKA
C000363,26,108,10338.5,2,3,2,232,Hibernating,RAJSHAHI
C000364,74,121,15162.0,1,5,5,155,Potential,SYLHET
C000365,10,95,11587.75,4,1,3,413,Hibernating,DHAKA
C000366,25,99,10287.5,2,1,1,211,Hibernating,DHAKA
C000367,13,125,13973.75,4,5,5,455,Champion,BARISAL
C000368,83,93,8938.75,1,1,1,111,Potential,SYLHET
C000369,7,102,10622.0,4,2,2,422,Hibernating,DHAKA
C000370,27,104,11293.75,2,2,3,223,Hibernating,SYLHET
C000371,8,112,11280.5,4,4,3,443,Loyal,BARISAL
C000372,5,124,13663.75,5,5,5,555,Champion,DHAKA
C000373,20,111,12474.25,3,3,4,334,Loyal,RAJSHAHI
C000374,8,107,10689.5,4,3,2,432,Loyal,RAJSHAHI
C000375,18,100,10323.75,3,1,2,312,Hibernating,KHULNA
C000376,10,124,14043.75,4,5,5,455,Champion,CHITTAGONG
C000377,5,104,11792.0,5,2,3,523,Hibernating,SYLHET
C000378,2,108,12395.75,5,3,4,534,Loyal,DHAKA
C000379,17,115,12110.0,3,4,4,344,Loyal,KHULNA
C000380,4,98,10030.75,5,1,1,511,Hibernating,DHAKA
C000381,18,104,11916.75,3,2,4,324,Hibernating,CHITTAGONG
C000382,30,121,13951.5,2,5,5,255,Hibernating,KHULNA
C000383,92,116,11127.75,1,4,3,143,Potential,DHAKA
C000384,32,109,11861.75,2,3,4,234,Hibernating,RAJSHAHI
C000385,38,102,10946.0,2,2,2,222,Hibernating,DHAKA
C000386,17,117,11472.0,3,4,3,343,Loyal,RANGPUR
C000387,11,106,10529.25,4,2,2,422,Hibernating,RAJSHAHI
C000388,47,85,8877.25,1,1,1,111,Potential,CHITTAGONG
C000389,14,110,11614.25,3,3,3,333,Loyal,CHITTAGONG
C000390,71,115,11107.0,1,4,3,143,Potential,DHAKA
C000391,16,123,13774.5,3,5,5,355,Loyal,RAJSHAHI
C000392,7,128,13093.75,4,5,5,455,Champion,DHAKA
C000393,4,90,8685.0,5,1,1,511,Hibernating,DHAKA
C000394,10,109,12031.5,4,3,4,434,Loyal,DHAKA
C000395,51,104,10350.75,1,2,2,122,Potential,DHAKA
C000396,13,134,14096.75,4,5,5,455,Champion,RANGPUR
C000397,83,114,11119.0,1,4,3,143,Potential,DHAKA
C000398,25,112,11820.25,2,4,4,244,Hibernating,DHAKA
C000399,52,109,12475.0,1,3,4,134,Potential,BARISAL
C000400,29,96,9424.75,2,1,1,211,Hibernating,CHITTAGONG
C000401,6,106,14012.25,5,2,5,525,Hibernating,CHITTAGONG
C000402,10,111,11489.25,4,3,3,433,Loyal,SYLHET
C000403,10,109,11235.75,4,3,3,433,Loyal,CHITTAGONG
C000404,8,115,11478.0,4,4,3,443,Loyal,DHAKA
C000405,108,107,9770.0,1,3,1,131,Potential,DHAKA
C000406,19,104,12566.25,3,2,4,324,Hibernating,RAJSHAHI
C000407,3,98,11870.0,5,1,4,514,Hibernating,RANGPUR
C000408,10,110,10391.75,4,3,2,432,Loyal,DHAKA
C000409,83,120,12527.25,1,5,4,154,Potential,RANGPUR
C000410,14,103,10559.75,3,2,2,322,Hibernating,BARISAL
C000411,27,120,13861.0,2,5,5,255,Hibernating,DHAKA
C000412,23,88,9243.25,3,1,1,311,Hibernating,RAJSHAHI
C000413,24,107,11130.25,2,3,3,233,Hibernating,DHAKA
C000414,16,116,13754.25,3,4,5,345,Loyal,CHITTAGONG
C000415,51,105,11035.5,1,2,2,122,Potential,KHULNA
C000416,8,110,12397.25,4,3,4,434,Loyal,DHAKA
C000417,11,115,12149.25,4,4,4,444,Champion,CHITTAGONG
C000418,57,94,9098.0,1,1,1,111,Potential,CHITTAGONG
C000419,6,111,10467.25,5,3,2,532,Loyal,CHITTAGONG
C000420,54,90,9437.5,1,1,1,111,Potential,CHITTAGONG
C000421,58,106,11906.0,1,2,4,124,Potential,DHAKA
